amfi_code,cagr,cagr_pct,sharpe_ratio_calc,sortino_ratio_calc,max_drawdown_calc,alpha_calc,beta_calc,return_3yr_pct,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_3yr_score,rank_sharpe_score,rank_alpha_score,rank_expense_score,rank_drawdown,rank_drawdown_score,fund_score
120505,0.3280159948038617,32.8,1.5136773148574738,2.6029848252943073,-0.18188513572116294,29.50852127298484,-1.7453793025029034,18.08,1.36,8.0,9.0,3.0,15.0,82.5,80.0,95.0,65.0,25.0,40.0,77.5
120843,0.30883325525154603,30.88,1.7117924657090022,3.097183007474493,-0.1297396816518679,27.321125754709385,-0.4369886433639478,15.65,1.45,11.0,5.0,5.0,22.0,75.0,90.0,90.0,47.5,13.0,70.0,77.125
148567,0.30949920362874206,30.95,1.9016611117550732,3.1324413379464278,-0.11265729075028275,26.910672569551767,1.0472156175636842,14.81,1.46,17.0,4.0,6.0,23.0,60.0,92.5,87.5,45.0,8.0,82.5,73.625
100033,0.30099703552874524,30.1,1.433514884573953,2.3974524751093007,-0.16217208574644848,26.875229141391046,2.409659525974329,16.58,1.38,10.0,13.0,7.0,17.0,77.5,70.0,85.0,60.0,20.0,52.5,72.0
119598,0.3239808398464554,32.4,1.2012689534145684,2.1289412915805737,-0.2870600572176455,30.31448674653319,-0.3508009372752363,23.39,1.43,1.0,23.0,1.0,21.0,100.0,45.0,100.0,50.0,36.0,12.5,70.0
120504,0.2327744753273051,23.28,1.4745261162183931,2.593170844824962,-0.12588275606922517,21.609064980413415,-2.613923398813752,14.41,0.8,20.0,11.0,11.0,12.0,52.5,75.0,75.0,72.5,12.0,72.5,67.625
149323,0.29558105232568344,29.56,1.4947355231762343,2.475687721828658,-0.17248105753451382,26.5732615545114,0.12594990971761885,17.16,1.61,9.0,10.0,8.0,38.0,80.0,77.5,82.5,7.5,22.0,47.5,65.75
149324,0.3226210752841656,32.26,1.2088516576807757,2.0615900972182986,-0.31171900300634214,29.582105995994862,3.666692667132805,20.08,1.52,6.0,22.0,2.0,26.5,87.5,47.5,97.5,36.25,37.0,10.0,64.0625
119094,0.28192608222062465,28.19,1.329810368779613,2.2697427602912166,-0.20960883862039192,26.273168995885477,-2.8728622961125527,15.18,1.38,15.0,17.0,9.0,17.0,65.0,60.0,80.0,60.0,28.0,32.5,62.75
118632,0.2403119561352478,24.03,1.536482459529055,2.628088644120958,-0.17414075086657232,21.578525052396888,1.6156595158068248,14.0,1.51,21.0,8.0,12.0,24.5,50.0,82.5,72.5,41.25,23.0,45.0,60.8125
148569,0.31924485848158723,31.92,1.5990240375272284,2.7798878503879236,-0.1639674294693263,28.080299884271543,1.7641274616014238,13.58,1.6,23.0,7.0,4.0,36.5,45.0,85.0,92.5,11.25,21.0,50.0,59.9375
119551,0.2578492084946409,25.78,1.6765582997755326,2.9697772957235298,-0.1501238549864533,23.454374664870613,-2.5189498642974644,12.36,1.54,26.0,6.0,10.0,30.5,37.5,87.5,77.5,26.25,17.0,60.0,58.5625
120507,0.0723241093234459,7.23,13.524343561565445,28.704081863582665,-0.0009773140045925555,6.751273831066395,-0.04613556409755695,7.68,0.74,35.0,1.0,30.0,7.0,15.0,100.0,27.500000000000004,85.0,1.0,100.0,57.75
148568,0.22499840384352243,22.5,1.3433551895179476,2.3678948800215958,-0.1527259422823477,20.841945067406474,-0.35965236798082756,14.56,1.52,19.0,16.0,14.0,26.5,55.00000000000001,62.5,67.5,36.25,19.0,55.00000000000001,56.5625
119552,0.21508021785499332,21.51,1.4149216730956589,2.3893387526985586,-0.11803493502764295,20.04759738244674,-1.8618719456253623,11.3,0.66,34.0,14.0,15.0,4.0,17.5,67.5,65.0,92.5,11.0,75.0,56.5
101206,0.23520488754230384,23.52,1.4689284556938418,2.5733983805703606,-0.11291596329323073,21.465600456186987,-0.006730818908691658,13.78,1.6,22.0,12.0,13.0,36.5,47.5,72.5,70.0,11.25,9.0,80.0,56.0625
120844,0.0691037983940288,6.91,12.447364675579795,26.329334333581468,-0.0011629327956168556,6.4605419002663504,-0.04375058641499332,6.18,0.6,37.0,2.0,32.0,3.0,10.0,97.5,22.5,95.0,2.0,97.5,55.875
125497,0.19003613208378556,19.0,1.2144744446276057,2.0830913147491574,-0.15200013055606398,17.762203771043477,0.8449617960571595,13.38,0.92,24.0,21.0,16.0,14.0,42.5,50.0,62.5,67.5,18.0,57.49999999999999,53.625
